-3  -3  -1  
-3  -2.9  -1  
-3  -2.8  -1  
-3  -2.7  -1  
-3  -2.6  -1  
-3  -2.5  -1  
-3  -2.4  -1  
-3  -2.3  -1  
-3  -2.2  -1  
-3  -2.1  -1  
-3  -2  -1  
-3  -1.9  -1  
-3  -1.8  -1  
-3  -1.7  -1  
-3  -1.6  -1  
-3  -1.5  -1  
-3  -1.4  -1  
-3  -1.3  -1  
-3  -1.2  -1  
-3  -1.1  -1  
-3  -1  -1  
-3  -0.9  -1  
-3  -0.8  -1  
-3  -0.7  -1  
-3  -0.6  -1  
-3  -0.5  -1  
-3  -0.4  -1  
-3  -0.3  -1  
-3  -0.2  -1  
-3  -0.0999999  -1  
-3  0  -1  
-3  0.1  -1  
-3  0.2  -1  
-3  0.3  -1  
-3  0.4  -1  
-3  0.5  -1  
-3  0.6  -1  
-3  0.7  -1  
-3  0.8  -1  
-3  0.9  -1  
-3  1  -1  
-3  1.1  -1  
-3  1.2  -1  
-3  1.3  -1  
-3  1.4  -1  
-3  1.5  -1  
-3  1.6  -1  
-3  1.7  -1  
-3  1.8  -1  
-3  1.9  -1  
-3  2  -1  
-3  2.1  -1  
-3  2.2  -1  
-3  2.3  -1  
-3  2.4  -1  
-3  2.5  -1  
-3  2.6  -1  
-3  2.7  -1  
-3  2.8  -1  
-3  2.9  -1  
-3  3  -1  

-2.9  -3  -0.965364  
-2.9  -2.9  -0.965294  
-2.9  -2.8  -0.96522  
-2.9  -2.7  -0.965142  
-2.9  -2.6  -0.96506  
-2.9  -2.5  -0.964974  
-2.9  -2.4  -0.964884  
-2.9  -2.3  -0.96479  
-2.9  -2.2  -0.964692  
-2.9  -2.1  -0.964589  
-2.9  -2  -0.964483  
-2.9  -1.9  -0.964374  
-2.9  -1.8  -0.964261  
-2.9  -1.7  -0.964146  
-2.9  -1.6  -0.964028  
-2.9  -1.5  -0.963909  
-2.9  -1.4  -0.96379  
-2.9  -1.3  -0.96367  
-2.9  -1.2  -0.963552  
-2.9  -1.1  -0.963436  
-2.9  -1  -0.963324  
-2.9  -0.9  -0.963216  
-2.9  -0.8  -0.963115  
-2.9  -0.7  -0.963022  
-2.9  -0.6  -0.962938  
-2.9  -0.5  -0.962864  
-2.9  -0.4  -0.962802  
-2.9  -0.3  -0.962752  
-2.9  -0.2  -0.962716  
-2.9  -0.0999999  -0.962694  
-2.9  0  -0.962686  
-2.9  0.1  -0.962694  
-2.9  0.2  -0.962716  
-2.9  0.3  -0.962752  
-2.9  0.4  -0.962801  
-2.9  0.5  -0.962864  
-2.9  0.6  -0.962938  
-2.9  0.7  -0.963022  
-2.9  0.8  -0.963115  
-2.9  0.9  -0.963216  
-2.9  1  -0.963324  
-2.9  1.1  -0.963436  
-2.9  1.2  -0.963552  
-2.9  1.3  -0.96367  
-2.9  1.4  -0.96379  
-2.9  1.5  -0.963909  
-2.9  1.6  -0.964028  
-2.9  1.7  -0.964146  
-2.9  1.8  -0.964261  
-2.9  1.9  -0.964374  
-2.9  2  -0.964483  
-2.9  2.1  -0.964589  
-2.9  2.2  -0.964692  
-2.9  2.3  -0.96479  
-2.9  2.4  -0.964884  
-2.9  2.5  -0.964974  
-2.9  2.6  -0.96506  
-2.9  2.7  -0.965142  
-2.9  2.8  -0.96522  
-2.9  2.9  -0.965294  
-2.9  3  -0.965364  

-2.8  -3  -0.930778  
-2.8  -2.9  -0.930636  
-2.8  -2.8  -0.930486  
-2.8  -2.7  -0.930327  
-2.8  -2.6  -0.930159  
-2.8  -2.5  -0.929983  
-2.8  -2.4  -0.929797  
-2.8  -2.3  -0.929602  
-2.8  -2.2  -0.929398  
-2.8  -2.1  -0.929184  
-2.8  -2  -0.928963  
-2.8  -1.9  -0.928733  
-2.8  -1.8  -0.928495  
-2.8  -1.7  -0.928251  
-2.8  -1.6  -0.928001  
-2.8  -1.5  -0.927747  
-2.8  -1.4  -0.927491  
-2.8  -1.3  -0.927233  
-2.8  -1.2  -0.926978  
-2.8  -1.1  -0.926727  
-2.8  -1  -0.926482  
-2.8  -0.9  -0.926248  
-2.8  -0.8  -0.926026  
-2.8  -0.7  -0.925821  
-2.8  -0.6  -0.925635  
-2.8  -0.5  -0.925472  
-2.8  -0.4  -0.925334  
-2.8  -0.3  -0.925224  
-2.8  -0.2  -0.925144  
-2.8  -0.0999999  -0.925095  
-2.8  0  -0.925078  
-2.8  0.1  -0.925095  
-2.8  0.2  -0.925144  
-2.8  0.3  -0.925224  
-2.8  0.4  -0.925334  
-2.8  0.5  -0.925472  
-2.8  0.6  -0.925635  
-2.8  0.7  -0.925821  
-2.8  0.8  -0.926026  
-2.8  0.9  -0.926248  
-2.8  1  -0.926482  
-2.8  1.1  -0.926727  
-2.8  1.2  -0.926978  
-2.8  1.3  -0.927233  
-2.8  1.4  -0.927491  
-2.8  1.5  -0.927747  
-2.8  1.6  -0.928001  
-2.8  1.7  -0.928251  
-2.8  1.8  -0.928495  
-2.8  1.9  -0.928733  
-2.8  2  -0.928963  
-2.8  2.1  -0.929184  
-2.8  2.2  -0.929398  
-2.8  2.3  -0.929602  
-2.8  2.4  -0.929797  
-2.8  2.5  -0.929983  
-2.8  2.6  -0.930159  
-2.8  2.7  -0.930327  
-2.8  2.8  -0.930485  
-2.8  2.9  -0.930636  
-2.8  3  -0.930778  

-2.7  -3  -0.896249  
-2.7  -2.9  -0.896033  
-2.7  -2.8  -0.895804  
-2.7  -2.7  -0.895561  
-2.7  -2.6  -0.895304  
-2.7  -2.5  -0.895032  
-2.7  -2.4  -0.894745  
